DateTime,Players,Twitch Viewers,Events,Prize
18/12/2012,186837,,,
19/12/2012,215557,,,
20/12/2012,202605,,,
21/12/2012,208194,,,
22/12/2012,204246,,,
23/12/2012,184129,,,
24/12/2012,178981,,,
25/12/2012,184889,,,
26/12/2012,188263,,,
27/12/2012,190168,,,
28/12/2012,194478,,,
29/12/2012,193507,,,
30/12/2012,183476,,,
31/12/2012,179569,,,
01/01/2013,260989,,,
02/01/2013,191548,,,
03/01/2013,195662,,,
04/01/2013,206468,,,
05/01/2013,207823,,,
06/01/2013,200878,,,
07/01/2013,197441,,,
08/01/2013,195051,,,
09/01/2013,199860,,,
10/01/2013,213862,,,
11/01/2013,234693,,,
12/01/2013,223423,,,
13/01/2013,204455,,,
14/01/2013,205046,,,
15/01/2013,206108,,,
16/01/2013,209216,,,
17/01/2013,224598,,,
18/01/2013,249092,,,
19/01/2013,243759,,,
20/01/2013,227237,,,
21/01/2013,224170,,,
22/01/2013,228490,,,
23/01/2013,230012,,,
24/01/2013,243819,,,
25/01/2013,261921,,,
26/01/2013,258661,,,
27/01/2013,237414,,,
28/01/2013,236552,,,
29/01/2013,233726,,,
30/01/2013,238047,,,
31/01/2013,217567,,,
01/02/2013,283870,,,
02/02/2013,261182,,,
03/02/2013,236051,,,
04/02/2013,234582,,,
05/02/2013,235657,,,
06/02/2013,238126,,,
07/02/2013,254630,,,
08/02/2013,273953,,,
09/02/2013,273967,,,
10/02/2013,255378,,,
11/02/2013,253257,,,
12/02/2013,250883,,,
13/02/2013,237422,,,
14/02/2013,259980,,,
15/02/2013,284234,,,
16/02/2013,281180,,,
17/02/2013,256970,,,
18/02/2013,252643,,,
19/02/2013,253259,,,
20/02/2013,255376,,,
21/02/2013,266857,,,
22/02/2013,274436,,,
23/02/2013,283477,,,
24/02/2013,250751,,,
25/02/2013,253759,,,
26/02/2013,248683,,,
27/02/2013,252186,,,
28/02/2013,269649,,,
01/03/2013,325598,,,
02/03/2013,289711,,,
03/03/2013,256668,,,
04/03/2013,257875,,,
05/03/2013,257117,,,
06/03/2013,265725,,,
07/03/2013,266333,,,
08/03/2013,303068,,,
09/03/2013,325897,,,
10/03/2013,267082,,,
11/03/2013,263995,,,
12/03/2013,260335,,,
13/03/2013,262759,,,
14/03/2013,279310,,,
15/03/2013,297313,,,
16/03/2013,293090,,,
17/03/2013,261736,,,
18/03/2013,263445,,,
19/03/2013,263566,,,
